teks_asli,konversi_emoji,cleaning,case_folding,normalisasi,tokenisasi,stopword,stemming,teks_bersih,label
"""Platform emas digital apakah aman dari ancaman hacking, scamming dll? Dan setau saya biarpun emas digital itu bisa dicetak fisik kan ya"",","""Platform emas digital apakah aman dari ancaman hacking, scamming dll? Dan setau saya biarpun emas digital itu bisa dicetak fisik kan ya"",",Platform emas digital apakah aman dari ancaman hacking scamming dll Dan setau saya biarpun emas digital itu bisa dicetak fisik kan ya,platform emas digital apakah aman dari ancaman hacking scamming dll dan setau saya biarpun emas digital itu bisa dicetak fisik kan ya,platform emas digital apakah aman dari ancaman hacking scamming dll dan setau saya biarpun emas digital itu bisa dicetak fisik kan ya,platform | emas | digital | apakah | aman | dari | ancaman | hacking | scamming | dll | dan | setau | saya | biarpun | emas | digital | itu | bisa | dicetak | fisik | kan | ya,platform emas digital apakah aman ancaman hacking scamming dll setau biarpun emas digital bisa dicetak fisik kan,platform emas digital apakah aman ancam hacking scamming dll tau biarpun emas digital bisa cetak fisik kan,platform emas digital apakah aman ancam hacking scamming dll tau biarpun emas digital bisa cetak fisik kan,netral
"""Emas yg ada di Pegadaian Digital itu emas apa kak, Antam atau UBS ?"",","""Emas yg ada di Pegadaian Digital itu emas apa kak, Antam atau UBS ?"",",Emas yg ada di Pegadaian Digital itu emas apa kak Antam atau UBS,emas yg ada di pegadaian digital itu emas apa kak antam atau ubs,emas yang ada di pegadaian digital itu emas apa kakak antam atau ubs,emas | yang | ada | di | pegadaian | digital | itu | emas | apa | kakak | antam | atau | ubs,emas pegadaian digital emas kakak antam ubs,emas gadai digital emas kakak antam ubs,emas gadai digital emas kakak antam ubs,netral
"Mantap..thanks ilmu nya pak,","Mantap..thanks ilmu nya pak,",Mantap thanks ilmu nya pak,mantap thanks ilmu nya pak,bagus terima kasih ilmu nya pak,bagus | terima | kasih | ilmu | nya | pak,bagus terima kasih ilmu nya pak,bagus terima kasih ilmu nya pak,bagus terima kasih ilmu nya pak,positif
"Aplikasi emas digital terpercaya apa ya ?,","Aplikasi emas digital terpercaya apa ya ?,",Aplikasi emas digital terpercaya apa ya,aplikasi emas digital terpercaya apa ya,aplikasi emas digital terpercaya apa ya,aplikasi | emas | digital | terpercaya | apa | ya,aplikasi emas digital terpercaya,aplikasi emas digital percaya,aplikasi emas digital percaya,netral
"""Masi mnding beli mas lngsung fisik,ktk kt  beli udah ad ditngan kita,bda hlnya m mas digital memliki tp g tau bntuk brangnya.Wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan yg didirikan teknologi manusia g slmanya hidup."",","""Masi mnding beli mas lngsung fisik,ktk kt beli udah ad ditngan kita,bda hlnya m mas digital memliki tp g tau bntuk brangnya.Wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan yg didirikan teknologi manusia g slmanya hidup."",",Masi mnding beli mas lngsung fisik ktk kt beli udah ad ditngan kita bda hlnya m mas digital memliki tp g tau bntuk brangnya Wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan yg didirikan teknologi manusia g slmanya hidup,masi mnding beli mas lngsung fisik ktk kt beli udah ad ditngan kita bda hlnya m mas digital memliki tp g tau bntuk brangnya wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan yg didirikan teknologi manusia g slmanya hidup,masih mnding membeli mas lngsung fisik ktk kita membeli sudah ad ditngan kita bda hlnya m mas digital memliki tapi tidak tahu bntuk brangnya wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan yang didirikan teknologi manusia tidak slmanya hidup,masih | mnding | membeli | mas | lngsung | fisik | ktk | kita | membeli | sudah | ad | ditngan | kita | bda | hlnya | m | mas | digital | memliki | tapi | tidak | tahu | bntuk | brangnya | wlwpun | hrgnya | lbih | murah | resiko | kdpan | nasib | perusahaan | yang | didirikan | teknologi | manusia | tidak | slmanya | hidup,masih mnding membeli mas lngsung fisik ktk membeli sudah ditngan bda hlnya mas digital memliki tapi tidak tahu bntuk brangnya wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan didirikan teknologi manusia tidak slmanya hidup,masih mnding beli mas lngsung fisik ktk beli sudah ditngan bda hlnya mas digital memliki tapi tidak tahu bntuk brangnya wlwpun hrgnya lbih murah resiko kdpan nasib usaha diri teknologi manusia tidak slmanya hidup,masih mnding beli mas lngsung fisik ktk beli sudah ditngan bda hlnya mas digital memliki tapi tidak tahu bntuk brangnya wlwpun hrgnya lbih murah resiko kdpan nasib usaha diri teknologi manusia tidak slmanya hidup,negatif
"""Bang bisa kali ada saran saya punya uang 1.5jt perbulan nganggur , Rencana mau Invenst tapi masih bingung mo Ngambil apa aja, soalnya buat nabung dalam jangka 3 Tahun depan, Btw udah ada plain emas saham dan rds, cmn lgi nyari&quot Referensi ni"",","""Bang bisa kali ada saran saya punya uang 1.5jt perbulan nganggur , Rencana mau Invenst tapi masih bingung mo Ngambil apa aja, soalnya buat nabung dalam jangka 3 Tahun depan, Btw udah ada plain emas saham dan rds, cmn lgi nyari&quot Referensi ni"",",Bang bisa kali ada saran saya punya uang 5jt perbulan nganggur Rencana mau Invenst tapi masih bingung mo Ngambil apa aja soalnya buat nabung dalam jangka 3 Tahun depan Btw udah ada plain emas saham dan rds cmn lgi nyari quot Referensi ni,bang bisa kali ada saran saya punya uang 5jt perbulan nganggur rencana mau invenst tapi masih bingung mo ngambil apa aja soalnya buat nabung dalam jangka 3 tahun depan btw udah ada plain emas saham dan rds cmn lgi nyari quot referensi ni,abang bisa kali ada saran saya punya uang 5jt perbulan nganggur rencana mau invenst tapi masih bingung mau ngambil apa aja karena buat menabung dalam jangka 3 tahun depan btw sudah ada plain emas saham dan rds cmn lgi mencari quot referensi ni,abang | bisa | kali | ada | saran | saya | punya | uang | 5jt | perbulan | nganggur | rencana | mau | invenst | tapi | masih | bingung | mau | ngambil | apa | aja | karena | buat | menabung | dalam | jangka | 3 | tahun | depan | btw | sudah | ada | plain | emas | saham | dan | rds | cmn | lgi | mencari | quot | referensi | ni,abang bisa kali saran punya uang 5jt perbulan nganggur rencana mau invenst tapi masih bingung mau ngambil aja karena buat menabung dalam jangka tahun depan btw sudah plain emas saham rds cmn lgi mencari quot referensi,abang bisa kali saran punya uang 5jt bulan nganggur rencana mau invenst tapi masih bingung mau ngambil aja karena buat tabung dalam jangka tahun depan btw sudah plain emas saham rds cmn lgi cari quot referensi,abang bisa kali saran punya uang 5jt bulan nganggur rencana mau invenst tapi masih bingung mau ngambil aja karena buat tabung dalam jangka tahun depan btw sudah plain emas saham rds cmn lgi cari quot referensi,netral
"diaryminivlogandrea5205,""tiap bulan beli 0.5 gram perbulan utk invest menguntungkan dimasa akan datang kak "",","diaryminivlogandrea5205,""tiap bulan beli 0.5 gram perbulan utk invest menguntungkan dimasa akan datang kak "",",diaryminivlogandrea tiap bulan beli 5 gram perbulan utk invest menguntungkan dimasa akan datang kak,diaryminivlogandrea tiap bulan beli 5 gram perbulan utk invest menguntungkan dimasa akan datang kak,diaryminivlogandrea tiap bulan membeli 5 gram perbulan untuk investasi menguntungkan dimasa akan datang kakak,diaryminivlogandrea | tiap | bulan | membeli | 5 | gram | perbulan | untuk | investasi | menguntungkan | dimasa | akan | datang | kakak,diaryminivlogandrea tiap bulan membeli gram perbulan investasi menguntungkan dimasa datang kakak,diaryminivlogandrea tiap bulan beli gram bulan investasi untung masa datang kakak,diaryminivlogandrea tiap bulan beli gram bulan investasi untung masa datang kakak,positif
"""Klo emas di pluang mau tarik fisik, itu emasnya asli kan ka?"",","""Klo emas di pluang mau tarik fisik, itu emasnya asli kan ka?"",",Klo emas di pluang mau tarik fisik itu emasnya asli kan ka,klo emas di pluang mau tarik fisik itu emasnya asli kan ka,kalau emas di pluang mau menarik fisik itu emasnya asli kan kakak,kalau | emas | di | pluang | mau | menarik | fisik | itu | emasnya | asli | kan | kakak,kalau emas pluang mau menarik fisik emasnya asli kan kakak,kalau emas pluang mau tarik fisik emas asli kan kakak,kalau emas pluang mau tarik fisik emas asli kan kakak,netral
"Misal beli emas 10gram mending ke toko emas atau ke pegadaian bang baiknya? mohon pencerahannya bang 🙏,","Misal beli emas 10gram mending ke toko emas atau ke pegadaian bang baiknya? mohon pencerahannya bang mohon terima kasih ,",Misal beli emas 10gram mending ke toko emas atau ke pegadaian bang baiknya mohon pencerahannya bang mohon terima kasih,misal beli emas 10gram mending ke toko emas atau ke pegadaian bang baiknya mohon pencerahannya bang mohon terima kasih,misal membeli emas 10gram lebih baik ke toko emas atau ke pegadaian abang baiknya mohon pencerahannya abang mohon terima memberi,misal | membeli | emas | 10gram | lebih | baik | ke | toko | emas | atau | ke | pegadaian | abang | baiknya | mohon | pencerahannya | abang | mohon | terima | memberi,misal membeli emas 10gram lebih baik toko emas pegadaian abang baiknya mohon pencerahannya abang mohon terima memberi,misal beli emas 10gram lebih baik toko emas gadai abang baik mohon cerah abang mohon terima beri,misal beli emas 10gram lebih baik toko emas gadai abang baik mohon cerah abang mohon terima beri,netral
"Saya berani nabung di pegadaian krn dr saya bocil ni perusahaan udah ada. Mari kita doakan biar pegadaian tidak pernah bangkrut. Nnti deh kalo udh 5gram saya cetak aja dah,","Saya berani nabung di pegadaian krn dr saya bocil ni perusahaan udah ada. Mari kita doakan biar pegadaian tidak pernah bangkrut. Nnti deh kalo udh 5gram saya cetak aja dah,",Saya berani nabung di pegadaian krn dr saya bocil ni perusahaan udah ada Mari kita doakan biar pegadaian tidak pernah bangkrut Nnti deh kalo udh 5gram saya cetak aja dah,saya berani nabung di pegadaian krn dr saya bocil ni perusahaan udah ada mari kita doakan biar pegadaian tidak pernah bangkrut nnti deh kalo udh 5gram saya cetak aja dah,saya berani menabung di pegadaian karena dari saya bocil ni perusahaan sudah ada mari kita doakan biar pegadaian tidak pernah bangkrut nnti deh kalau sudah 5gram saya mencetak emas aja sudah,saya | berani | menabung | di | pegadaian | karena | dari | saya | bocil | ni | perusahaan | sudah | ada | mari | kita | doakan | biar | pegadaian | tidak | pernah | bangkrut | nnti | deh | kalau | sudah | 5gram | saya | mencetak | emas | aja | sudah,berani menabung pegadaian karena bocil perusahaan sudah mari doakan biar pegadaian tidak pernah bangkrut nnti deh kalau sudah 5gram mencetak emas aja sudah,berani tabung gadai karena bocil usaha sudah mari doa biar gadai tidak pernah bangkrut nnti deh kalau sudah 5gram cetak emas aja sudah,berani tabung gadai karena bocil usaha sudah mari doa biar gadai tidak pernah bangkrut nnti deh kalau sudah 5gram cetak emas aja sudah,positif
"""Saya sesuai kek kamu bang, nabung dulu emas, baru udh banyak gramnya saya cetak 🤣"",","""Saya sesuai kek kamu bang, nabung dulu emas, baru udh banyak gramnya saya cetak "",",Saya sesuai kek kamu bang nabung dulu emas baru udh banyak gramnya saya cetak,saya sesuai kek kamu bang nabung dulu emas baru udh banyak gramnya saya cetak,saya sesuai kek kamu abang menabung dahulu emas baru sudah banyak gramnya saya mencetak emas,saya | sesuai | kek | kamu | abang | menabung | dahulu | emas | baru | sudah | banyak | gramnya | saya | mencetak | emas,sesuai kek kamu abang menabung dahulu emas baru sudah banyak gramnya mencetak emas,sesuai kek kamu abang tabung dahulu emas baru sudah banyak gram cetak emas,sesuai kek kamu abang tabung dahulu emas baru sudah banyak gram cetak emas,positif
"haloo kak... apakah boleh beli emas 10gram terus saya cetak ke 1gram dan bila di jual harga tetap 1 gram logam mul ia atau ada pengurangan.mksh sebelumnya.,","haloo kak... apakah boleh beli emas 10gram terus saya cetak ke 1gram dan bila di jual harga tetap 1 gram logam mul ia atau ada pengurangan.mksh sebelumnya.,",haloo kak apakah boleh beli emas 10gram terus saya cetak ke 1gram dan bila di jual harga tetap 1 gram logam mul ia atau ada pengurangan mksh sebelumnya,haloo kak apakah boleh beli emas 10gram terus saya cetak ke 1gram dan bila di jual harga tetap 1 gram logam mul ia atau ada pengurangan mksh sebelumnya,haloo kakak apakah boleh membeli emas 10gram terus saya mencetak emas ke 1gram dan jika di menjual harga tetap 1 gram logam mul ia atau ada pengurangan terima kasih sebelumnya,haloo | kakak | apakah | boleh | membeli | emas | 10gram | terus | saya | mencetak | emas | ke | 1gram | dan | jika | di | menjual | harga | tetap | 1 | gram | logam | mul | ia | atau | ada | pengurangan | terima | kasih | sebelumnya,haloo kakak apakah boleh membeli emas 10gram terus mencetak emas 1gram menjual harga tetap gram logam mul pengurangan terima kasih sebelumnya,haloo kakak apakah boleh beli emas 10gram terus cetak emas 1gram jual harga tetap gram logam mul kurang terima kasih belum,haloo kakak apakah boleh beli emas 10gram terus cetak emas 1gram jual harga tetap gram logam mul kurang terima kasih belum,netral
"Ka udah berapa lama main di tabungan digital pegadaian?,","Ka udah berapa lama main di tabungan digital pegadaian?,",Ka udah berapa lama main di tabungan digital pegadaian,ka udah berapa lama main di tabungan digital pegadaian,kakak sudah berapa lama main di tabungan digital pegadaian,kakak | sudah | berapa | lama | main | di | tabungan | digital | pegadaian,kakak sudah berapa lama main tabungan digital pegadaian,kakak sudah berapa lama main tabung digital gadai,kakak sudah berapa lama main tabung digital gadai,netral
"Lebih suka emas fisik,","Lebih suka emas fisik,",Lebih suka emas fisik,lebih suka emas fisik,lebih suka emas fisik,lebih | suka | emas | fisik,lebih suka emas fisik,lebih suka emas fisik,lebih suka emas fisik,netral
"Kak mau tanya kalo kita nabung emas di Pegadaian.. terus Setiap saya Nabung langsung ke Tempat nya Apakah. Di buku tabungan kita jumlah ny naik.. apa Gimana kak setiap kita Nabung,","Kak mau tanya kalo kita nabung emas di Pegadaian.. terus Setiap saya Nabung langsung ke Tempat nya Apakah. Di buku tabungan kita jumlah ny naik.. apa Gimana kak setiap kita Nabung,",Kak mau tanya kalo kita nabung emas di Pegadaian terus Setiap saya Nabung langsung ke Tempat nya Apakah Di buku tabungan kita jumlah ny naik apa Gimana kak setiap kita Nabung,kak mau tanya kalo kita nabung emas di pegadaian terus setiap saya nabung langsung ke tempat nya apakah di buku tabungan kita jumlah ny naik apa gimana kak setiap kita nabung,kakak mau bertanya kalau kita menabung emas di pegadaian terus setiap saya menabung langsung ke tempat nya apakah di buku tabungan kita jumlah ny naik apa bagaimana kakak setiap kita menabung,kakak | mau | bertanya | kalau | kita | menabung | emas | di | pegadaian | terus | setiap | saya | menabung | langsung | ke | tempat | nya | apakah | di | buku | tabungan | kita | jumlah | ny | naik | apa | bagaimana | kakak | setiap | kita | menabung,kakak mau bertanya kalau menabung emas pegadaian terus setiap menabung langsung tempat nya apakah buku tabungan jumlah naik bagaimana kakak setiap menabung,kakak mau tanya kalau tabung emas gadai terus tiap tabung langsung tempat nya apakah buku tabung jumlah naik bagaimana kakak tiap tabung,kakak mau tanya kalau tabung emas gadai terus tiap tabung langsung tempat nya apakah buku tabung jumlah naik bagaimana kakak tiap tabung,netral
"""Mau sarannya kak, saya masih pemula. Modal cukup untuk 0.5gr tapi saya ingin dalam bentuk fisik. Saran kka saya lebih baik tarik fisik atau digital kak? Makasih"",","""Mau sarannya kak, saya masih pemula. Modal cukup untuk 0.5gr tapi saya ingin dalam bentuk fisik. Saran kka saya lebih baik tarik fisik atau digital kak? Makasih"",",Mau sarannya kak saya masih pemula Modal cukup untuk 5gr tapi saya ingin dalam bentuk fisik Saran kka saya lebih baik tarik fisik atau digital kak Makasih,mau sarannya kak saya masih pemula modal cukup untuk 5gr tapi saya ingin dalam bentuk fisik saran kka saya lebih baik tarik fisik atau digital kak makasih,mau sarannya kakak saya masih pemula modal cukup untuk 5gr tapi saya ingin dalam bentuk fisik saran kka saya lebih baik menarik fisik atau digital kakak terima kasih,mau | sarannya | kakak | saya | masih | pemula | modal | cukup | untuk | 5gr | tapi | saya | ingin | dalam | bentuk | fisik | saran | kka | saya | lebih | baik | menarik | fisik | atau | digital | kakak | terima | kasih,mau sarannya kakak masih pemula modal cukup 5gr tapi ingin dalam bentuk fisik saran kka lebih baik menarik fisik digital kakak terima kasih,mau saran kakak masih mula modal cukup 5gr tapi ingin dalam bentuk fisik saran kka lebih baik tarik fisik digital kakak terima kasih,mau saran kakak masih mula modal cukup 5gr tapi ingin dalam bentuk fisik saran kka lebih baik tarik fisik digital kakak terima kasih,netral
"""Tapi kalau di shopee tabungan emas nya kalu dijual gk makn wakti lama kok , langsung cuma butuh bbrapa menit j lngsung cair ke no rek kita yg sdh terdaftar.krn sy sering 🤭 beli lalu jual lagi😁"",","""Tapi kalau di shopee tabungan emas nya kalu dijual gk makn wakti lama kok , langsung cuma butuh bbrapa menit j lngsung cair ke no rek kita yg sdh terdaftar.krn sy sering beli lalu jual lagi senang gembira "",",Tapi kalau di shopee tabungan emas nya kalu dijual gk makn wakti lama kok langsung cuma butuh bbrapa menit j lngsung cair ke no rek kita yg sdh terdaftar krn sy sering beli lalu jual lagi senang gembira,tapi kalau di shopee tabungan emas nya kalu dijual gk makn wakti lama kok langsung cuma butuh bbrapa menit j lngsung cair ke no rek kita yg sdh terdaftar krn sy sering beli lalu jual lagi senang gembira,tapi kalau di shopee tabungan emas nya kalu dijual tidak makn wakti lama kok langsung cuma butuh bbrapa menit j lngsung mencairkan ke no rekening kita yang sudah terdaftar resmi karena saya sering membeli lalu menjual lagi senang gembira,tapi | kalau | di | shopee | tabungan | emas | nya | kalu | dijual | tidak | makn | wakti | lama | kok | langsung | cuma | butuh | bbrapa | menit | j | lngsung | mencairkan | ke | no | rekening | kita | yang | sudah | terdaftar | resmi | karena | saya | sering | membeli | lalu | menjual | lagi | senang | gembira,tapi kalau shopee tabungan emas nya kalu dijual tidak makn wakti lama kok langsung cuma butuh bbrapa menit lngsung mencairkan rekening sudah terdaftar resmi karena sering membeli lalu menjual lagi senang gembira,tapi kalau shopee tabung emas nya kalu jual tidak makn wakti lama kok langsung cuma butuh bbrapa menit lngsung cair rekening sudah daftar resmi karena sering beli lalu jual lagi senang gembira,tapi kalau shopee tabung emas nya kalu jual tidak makn wakti lama kok langsung cuma butuh bbrapa menit lngsung cair rekening sudah daftar resmi karena sering beli lalu jual lagi senang gembira,positif
"""Emas digital bisa dijual kapan saja. Tapi kalau uang cair nunggu 3 hari kerja ya mendingan emas fisik. Butuh uang malam ini, tokonya tutup, bisa bangunin tetangga, pinjam uang dan jaminkan emasnya."",","""Emas digital bisa dijual kapan saja. Tapi kalau uang cair nunggu 3 hari kerja ya mendingan emas fisik. Butuh uang malam ini, tokonya tutup, bisa bangunin tetangga, pinjam uang dan jaminkan emasnya."",",Emas digital bisa dijual kapan saja Tapi kalau uang cair nunggu 3 hari kerja ya mendingan emas fisik Butuh uang malam ini tokonya tutup bisa bangunin tetangga pinjam uang dan jaminkan emasnya,emas digital bisa dijual kapan saja tapi kalau uang cair nunggu 3 hari kerja ya mendingan emas fisik butuh uang malam ini tokonya tutup bisa bangunin tetangga pinjam uang dan jaminkan emasnya,emas digital bisa dijual kapan saja tapi kalau uang mencairkan menunggu 3 hari kerja ya lebih baik emas fisik butuh uang malam ini tokonya tutup bisa bangunin tetangga pinjam uang dan jaminkan emasnya,emas | digital | bisa | dijual | kapan | saja | tapi | kalau | uang | mencairkan | menunggu | 3 | hari | kerja | ya | lebih | baik | emas | fisik | butuh | uang | malam | ini | tokonya | tutup | bisa | bangunin | tetangga | pinjam | uang | dan | jaminkan | emasnya,emas digital bisa dijual kapan saja tapi kalau uang mencairkan menunggu hari kerja lebih baik emas fisik butuh uang malam tokonya tutup bisa bangunin tetangga pinjam uang jaminkan emasnya,emas digital bisa jual kapan saja tapi kalau uang cair tunggu hari kerja lebih baik emas fisik butuh uang malam toko tutup bisa bangunin tetangga pinjam uang jamin emas,emas digital bisa jual kapan saja tapi kalau uang cair tunggu hari kerja lebih baik emas fisik butuh uang malam toko tutup bisa bangunin tetangga pinjam uang jamin emas,negatif
