Data;Label Sentimen;
@RiqikArdiansyah-gd9vo,Mau transaksi kek apa juga semua gak ada yg syariah<br>Selama transaksi pakai uang kertas masih kena riba atau debu riba😂,;Netral;
"@arsenfamily_o,""Sya beli emas dan nabung emas du pegadaian, mnurut sya ini lebih efektif bagi kelas menengah ke bawah. Karna kita bisa beli emas mulai dai 0,1 gr. Dengan harga saat itu, cuma bedanya. Emas fisiknya bisa dicetak stelah sampai 1gr,"",";Positif;
"@fajarlintau8503,""Beli emas online <br>Bisa berapa saja  sesuai uang kita contoh nya  punya uang 500 rb kita belikan ke emas online ketika transaksi berhasil  saldo emas kita langsung terisi dengan satuan emas,emas yg udah di beli bisa di ambil kapanpun dengan syarat minimal 0,5 gram dalam bentuk batangan,bisa di ambil langsung atau di simpan dulu .ada yg memilih disimpan dulu di pihak penjual dengan alasan takut mengundang kriminal,,apakah salah atau riba?"",";Netral;
@mamamoment3445,Setuju ustadz Anton syafii,;Netral;
"@tanjungsari-b8j,""Islam adaptasi dgn teknologi, sy yg termasuk mendukung emas digital.... Teknologi selaras dgn islan"",";Positif;
"@oktavian1856,""saya tinggal di timur dan ingin sekali investasi LM. tapi disini tidak ada butik antam atau semacamnya untuk bisa jual/beli LM secara langsung dan fleksibel. jadi salah satunya paling harus menunggu ketersediaan lelang LM di pegadaian, itupun tidak setiap saat ada.<br><br>sementara kalo terus menerus menunggu (sekaligus menabung uang untuk dibelikan LM yang ntah kapan) takutnya nilai uang akan terus semakin kalah dengan inflasi.  apa ada saran?"",";Netral;
@triwinarhadi,Sekarang ada LYFE GOLD yg bisa diganti dengan emas fisik,;Netral;
"@muhamadridwan1140,""Saya mau nanya klo hari ini kita beli emas 1 gram dgn harga 1 juta, terus satu tahun kemudian menjadi 1,5 juta apakah halal kelebihan 500 nya"",";Netral;
"@Guntoro-z5t,""Mr2 nabung emas dipegadaian,aman ndak usah ragu2,,kalau banyak ndengarkan penjelasan dr sudut agama,,biasanya jd ragu,,akhirnya nggak jd mulai nabung,,shg uang jd habis. Brengose cukur dulu pak,,"",";Netral;
"@bunga_90,""Pengen bgt nabung emas di pegadaian syariah....stlh liat video ini ustad pun berbelit belit ,, makin bingung dah 😂"",";Netral;
@orangkaya4545,Yg jamin DIBELIIN EMAS BENERAN SIAPA,;Netral;
@Centhul-f1s,Susah jg emang klo jmn skrg beli emas tunai...makin lama makin gk trjangkau hrganya...mau  dtabung dlu smpe uangnya ckup jg kburu emasnya makin mhal lg dan hrs nunggu tbungan kekumpul lg...mau beli emas kecil2 jg bukannya jd pelindung nilai mlah jd buntung krna biaya cetaknya jauh lbh mhal dr emas 1 gr keatas...,;Negatif;
@rosnahrashid6818,Utz..terus jatuh kan hukum ..halal ka haram...jadi mudah faham...fakta berbelit belit jadi sukar faham..,;Netral;
@tehmumun5936,Semoga aku bisa nabung emas ya kawan amiin,;Netral;
"@adaradar6804,""Islam selalu memudahkan, manusianya yang kadang tdk berfikir menganggap hukum memberatkan. Daripada kredit mending beli yang kecil secara tunai"",";Netral;
"@pickpleasee,""Bentar2 ada yg bisa jelasin gak yg di video yg syarat2nya  di <a href=""""https://www.youtube.com/watch?v=79R-MVf93Nc&amp t=280"""">4:40</a> klo gk salah yg pertama , itu &#39 harga jual tidak boleh bertambah selama masa perjanjian&#39 nah apakabar buat orang2 yg mau invest, yg emang kan tujuan nya biar bisa dijual pas harga naik ?"",";Netral;
"@ikeuchimyrara4601,""Pegadaian aman ,ketika akad di orderkan"",";Positif;
"@frm1264,""NILAI EKONOMI EMAS STABIL TIDAK NAIK TIDAK TURUN,  YANG TURUN NAIK MATA UANGNYA.....<br>BUKTINYA NILAI NISAB ZAKAT BERPATOKAN PADA BERAT EMAS.  HARGA KAMBING SEKITAR 1 DINAR DR ZAMAN NABI SAMPE SEKARANG"",";Netral;
@martasihombing9720,Penjual emas,;Netral;
@martasihombing9720,X,;Netral;
"@abujandadpoumatmuslim.7553,""Maaf Ust.. Hukum pokok tdk bs dilemahkan dengan hukum cabang, dalam hal ini Ust Erwandi lebih tepat dan berhati hati dalam berpendapat."",";Netral;
@Irene-ml5ux,Bagaimana dengan emas di Bank Syariah Indonesia?,;Netral;
"@sanca7856,""Beli emas harus fisik, kalau beli emas digital tidak akan bisa menaikkan harga emas, karena hanya angka digital"",";Negatif;
@galerisunnah,BI tidak bisa mencetak uang kartal/ kertas tanpa ada jaminan emas. Berarti uang kartal mewakili dari emas. Sedangkan transaksi emas dengan emas harus tunai. Sudah kelihatan halal atau haramnya disini.,;Netral;
@robisaputra7603,Bagaimana jika jual emas tp uangx ditransfer besok atau lusa.,;Netral;
"@hakhakim667,""Setuju ustadz, karena hukum itu mengikuti kemaslahatan umat,tidak harus di pukul sama rata, karena pada zaman dahulu beda dengan zaman sekarang, tetapi harus mengetahui dahulu bagaimana perusahaan nya,sudah di ijini sama pemerintah atau tidak, perusahaan nya legal atau ilegal😊🙏🏻🙏🏻"",";Netral;
@emasdigital.syariah6481,s e t u j u 👍👍,;Netral;
@mfikrinurdinchairullah7164,Cari kebenaran jangan pembenaran,;Netral;
@ybiny983,Intinya MUI meng halalkan ya beres.. Kalo masalah hukum berbeda pendapat aplg masalah fiqih haduuuh lumrah sekali,;Netral;
@tatufarida8486,Saya mo bl emas batangan secara tunai di pegadaian susah sekali...mereka beralasan tdk nyetock brg tiap hr...stock ada hny sewaktu2 &amp itu pun si pembeli hrs rajin atw rutin nanyain apakah stock ada d hr tsb dlm ati ngomong hmmmmm seperti ada permainan ini siiihhh nanti kl kt nelpon khawatir mereka blgnye g ada trs..dr pd saya capek hrs nanya Mulu tiap hr ujung2 nye d blg kaga ada akhirnya mo g mo aq bl secara kredit..adapun kredit d pegadaian ada yg 3bln...6 bln...setahun dst...aq ambil kredit yg 3 bln...kt mereka kt bs melunasi sblm tgl atw bln jatuh tempo tp minimal umur kredit sdh mencapai 2bln...dan aq lgsg melunasinya d bln k 2 itu pun brg bs d ambil keesokan hrnye trs saya tny kok knp hr ini d lunasin brg kaga d ksh lgsg hr ini jg knp hrs tunggu bsk hr &amp mereka jwb Krn brg tsb tdk d stock d pegadaian kantor cabang jd hrs d kirim dr kantor pusat yg ada d bulan2 Bekasi... sementara suami saya kredit d pegadaian tambun.lunasin hr ini brg pun bs lgsg d ambil d hr tsb...aq heran ajje ms pegadaian sistemnye/caranye berbeda2 siiihhh???...Krn sbnrnya aq pen bl lunas tp y gitu mereka bnyk alesannye ujung2nye susah utk bl secara tunai d pegadaian menurut aq seperti ada permainan dr mereka Krn mereka sengaja supaya pembeli membeli secara kredit Krn d situ lah pegadaian mendapatkan keuntungan lumayan besar d banding jual bl secara tunai...skr aq sdh tau ternyata ada gerai yg menjual secara tunai biasanya gerai tsb ada d mall2...bsk2 aq mo bl d gerai lain ajje secara tunai dr pd d pegadaian ujung2nye d suruh kredit pdhl aq mampu bl tunai...bye byeeeee pegadaian aq mo bl d gerai lain ajje yg jual secara tunai...hihihiii,;Netral;
@dedierza465,HARAM.. RIBAWI.. TIDAK JELAS..,;Netral;
@Geryramdhani17,Bagaimana kalo kita nabung di pegadaian digital. Trus kita cairkan dan setelah itu kita belikan pada emas ? Apakah sama? Soalnya metode nabung yang saya pakai ini digital,;Netral;
@arkanachanel330,Menurut Buya Yahya transaksi emas harus jelas jadi jika beli emas harus face to face dan barangnya ada. Jika diakal akali ya jadinya meragukan nih hukmya.,;Negatif;
"@su12ya1,""Hadisnya sudah jelas kok...jual beli emas itu harus tunai...diserahkan langsung dari tangan ke tangan... saya lebih memilih berhati-hati, tidak mau &quot bermain&quot di area meragukan halal dan haramnya...<br><br>patuh terhadap hadis yg shohih lebih baik daripada mengambil fatwa yg masih diragukan oleh banyak ahli ekonomi syariah..."",";Netral;
@bangzalfilm,saya sudah jelas di video tersebut. tidak perlu diperdebatkan,;Netral;
"@noname-st2br,""Namanya dunia berkembang teknologi jauh berkembang digital berkembang semua sistem atau bisnis ya digital lah gmn sih,skrg aja apa2  bayar pakai apps gue pun udh males bawa cash kadang2"",";Positif;
@decil1168,Emas digitalll karena super mudah  apalagi kalau kita kepepet bisa digadai dengan bunga sangat kecilll.. sangat membantu,;Positif;
"@kiralucy3290,""Kalo mikir nya resiko. Semua ada resiko. Emas fisik aja entah di taro di rumah atau nyewa brankas di bank tetep beresiko di bobol maling.<br>So, mau emas digital/ fisik Yg terpenting inves di tempat terpercaya, jangan kebanyakan mikir, nanti kapan investasi nya, gak jadi beli-beli, sedangkan waktu terus berjalan, selesai 😊"",";Netral;
@AgumGumelar_vizafara,Emas digital lebih bagus karna harganya bisa terlihat.   Kalo emas fisik bisa ada penyusutan,;Positif;
"@kanefoaker,""Sy main dua² nya.. .dengan rate beli yg sama hanya menerapkan gramasi yg berbeda, karena sesuai tema yg banyak digunakan banyak orang bahwa emas fisik saat ini per gram nya mahal sehingga emas digital yg lebih fleksibel baik dana minim maupun gramasi yg dibeli seolah menjadi solusi....,  Tp selama ini yg untung emas Fisik bukan yg digital, jd maaf ya.. . Info Yg anda bagikan hanya seperti polesan agar sekedar melek digital padahal tdk semua yg di digitalisasi itu berimbas baik atau menghasilkan untung.. .  <br><br>Kita boleh menjadikan ini sebagai pembelajaran yang comparatif, agar bs mengefektifkan niat dengan menabung emas, yg tentunya menurut sy emas fisik &quot saat ini&quot masih lebih baik untuk sy<br><br>😊"",";Netral;
"@Quito_Que,""Emas Baru ada 429k kalo ada duit gw topup dana beli emas, karna investasi jangka panjang  smoga pasti kebeli motor zx25😁"",";Netral;
@Ratnadhilla92,aq dulu pnya uang 10jt bkn nya di cetak emas malah di tabungin di emas digital🥲🥲🥲 klo mau di cetak malah jatoh nya rugi ga sih??? atau udah simpen ajja di emas digital?,;Netral;
@asariachmad7866,Mana komentarnya,;Netral;
"@adipatitan,""Kalau duit 3-4 juta digital gak papa,  kalau sudah 20-30 jutaan mending fisik saja.. Cari aman, dan saya tau pengadaian milik negara.."",";Netral;
"@instaset,""Emas fisik. Kalo uang blm cukup beli emas digital. Jika sudah kumpul diatas 1gr bisa cetak fisik. Gk perlu dihitung biaya lain2. Karena sejatinya emas buat simpanan diatas 10th yg menikmati anak/cucu. Ada banyak faktor keunggulan emas fisik. Masih inget bank2 likuiditas. Brp antrean buat nyairin saldo dibank tsb. Jika terjadi perang/hal2 lain, emas fisik lebih unggul. Jika blm percaya. Buat literatur detail fisik vs digital kemudian bandingkan dg cermat. <br>Perlu dipahami jika Emas bukan investasi."",";Netral;
@tampachannel3033i,Klo HP NYA YG DICURI gmna ya.. Kan applikasinya emasnya ada di Hp.. ??<br>Otomatis emasnya juga hilang donk.. Krna sama pencurinya di reset ulang HP yg dicurinya itu..?,;Netral;
@lalamana7876,mending beli iphone,;Netral;
"@nunaninaaa,""Lucu bgt yg komen wkwkw.<br>Masing2 ada kekurangan dan kelebihan lah gaiiss. <br>Kalo emas fisik, bisa aja ilang, dicolong atau kadar emasnya berkurang. Nah kalau digital, bisa aja down atau dihack akunnya. Tp yaa biar gimana pun teknologi itu gak akan mundur. Jgn cerita akhir jaman atau riba, kalo mau cerita gitu ya ndak usah nabung emas dong, bagus sedekah ajaa😊 itu baru Investasi masa depan namanya. Hihihi"",";Netral;
@anwarirawan8363,baru mau investasi emas,;Netral;
@ilhamnuralamsyah9586,Bagi saya emas digital. Soalnya lumayan ada dana 100rb bisa buat beli emas itung itung nyicil.. dan kalau untuk cetak emas minimal 1 gram itu beda beda. Kalau saya cukup digital aja soalnya ada biasa pencetakanmya lumayan😁,;Positif;
@andiksubadri6232,BUAT YG TAKUT GAK JADI FISIK EMAS.KLO PAKE TABUNGAN EMAS....KAN BISA DICAIRKAN DALAM BENTUK TUNAI SESUAI HARGA EMAS YG KITA DAPAT PADA HARI ITU JUGA..,;Positif;
"@ultramencemen8754,""teorinya bilang gitu &quot emas digital selalu ada fisiknya&quot . padahal kalo mau ambil fisik dari digital sering kosong, sulit dan lama.<br>melihat bobroknya pejabat² kita, khawatir semakin lama yg dijual cuma emas digital tanpa diimbangi stok fisiknya alias cuma jual angka². dan makin banyak masyarakat dungu yg percaya"",";Negatif;
"@anjarramadhani7926,""Kliringnya setiap periode apa kak? Harian, mingguan?"",";Netral;
@niimoo767,Gak perlu nyimpan fisik yg penting nilai jual belinya. Kalau naik/profit dan merasa cukuo ya dijual..,;Positif;
@M.Tamsir-z2p,Om memisalkan kita dapat untung saat penjualan apakah kita di kenakan pajak...,;Netral;
@valthelittledragon6056,Ya ga ada barajg asli nya. Itu kan in a sense cuman trading harga commodities aja 😂,;Netral;
"@dwiduwok1496,""Bahas depositomya treasury dan shariacoin bang...sbnrnya uang nasabah itu diapakan,apakah bner2 diputar lg utk diusahakan..."",";Netral;
"@spookybwi,""Bahas segi pajak nya untuk konsumen akhir dan pkp,bos. Apa aja pajak emas nya"",";Netral;
@harsoisworo5394,Kapan terakhir anda ambil emas fisiknya om? Pengin tau pengusaha emas digital mana yg beneran bisa ambil fisiknya per desember 2025.,;Netral;
"@heriyadi6558,""Alhamdulillah, saya emas digital pegadaian tabungan mas  dan simpan fisik emas juga ."",";Netral;
@DonnyMUFC,Tidak...saya mengikutin cara chinese yg beli selalu dan selalu emas fisik,;Netral;
@ebiaku5011,aku malah beli dan nabung emas dalam bentuk tokenisasi crypto (PAXG)😅,;Netral;
@liamalivlog2843,Di apk dana juga ada emas digital aku simpan disana untuk dana darurat,;Netral;
@liamalivlog2843,Aku beli emas di digital di brimo setiap bulan udh mau setahun semangat ya,;Netral;
@Tonbo_oye,Aku pake apk dana soalnya di situ ada emasnya juga kak itu gimana bagus gak,;Netral;
@Tonbo_oye,Kalo emas digital apk DANA itu dari mana kakak,;Netral;
@malvinpradivta8116,Kak apa keunggulan dari yang di awasi oleh OJK atau bappebti? Apa keunggulan/kekurangan dari emas digital di bawah OJK ataupun bappebti?,;Netral;
"@tutiati9727,""Assalamu alaikum kak kalau nabung emas digital nya di aplikasi  dana eMAS gemana , aman kah?"",";Positif;
"@sitisigit8413,""Sebenernya khawatir ga hnya emas aja,,tabungn uang jg mengkhawatirkn,emas/uang disimpan dirmh jg kawatir hilang. Intinya Nabung ya Nabung aja"",";Netral;
"@povpartymdn,""saya mau nanya sedikit ini, kalau mau investasi emas digital lebih bagusan emas indo atau token crypto emas luar kaya pax dan xau tolong di jawab ya bg🙏"",";Netral;
@hends7467,Bahasan yang saya suka hehehe,;Netral;
@alamdendy,Saya di lima2 nya nabung emasnya. Supaya mengurangi resiko,;Netral;
"@Raizsatria-c7y,""dalam 1 tahun naik 1 juta alhamdulillah. iseng nyoba beli emas digital di aplikasi dana tahun lalu. 1,4. sekarang 2,4."",";Positif;
"@rizkysetyawan4878,""Bang kalo nabung di usdt emas dan udah kekumpul banyak, lalu jual dibelikan emas fisik di toko emas min 50 / 100 gram, menurut lu worth it gk bang?<br><br>Kan yang paling tinggi biayanya emas digital+cetak fisik,....kalo nyicilnya di emas usdt lalu jual jadiin cash beliin emas fisik..."",";Netral;
@suryaadmaja,Nabung emas by bsi?,;Netral;
@chanelkejutan3902,Untuk apa ya sebenar dicetak...kalau saya tabur emas aja kalau sdh untung dijual aja jadi uang ..buka jadi emas ..kira2 benar gak ya... point nya kah mau nyari untung 😀,;Positif;
@syahdillanoor709,klo emas digital nya langsung dijual tanpa harus dicetak apakah bisa?,;Netral;
@AndersonHerera-f8k,Kira kira telat gak ya klo nabung emas mulai sekarang jika dilohat dari harganya sudah sangat tinggi per grammnya,;Netral;
@akuntansiasyik,saya cetak fisik dari pegadaian G-24 5gr kena 11.200.000 biaya cetak emas 225.500 total 11.425.500 . harga lebih rendah dari harga beli dipasaran resmi dari galeri24. kalau UBS 5gr kena 11.050.000 biaya cetak 275.500 total 11.325.500 dan harga juga lebih rendah dari harga beli dipasaran.,;Netral;
@Bohinyess,Emas digital ga harus di cetak kan pak?jd bisa transaksi jual lgs ndk kl emas digital?tq,;Netral;
@Byhalid,Ko beli xaut di binace wallet web 3 bisa ga ya?,;Netral;
@michaell4620,Mending fisik,;Netral;
"@gemstonemaniak8804,""<a href=""""https://www.youtube.com/watch?v=3XhJ025TKrQ&amp t=647"""">10:47</a> Tergantung keadaan bang. Kalau harga emas sangat fluktuatif, dalam beberapa bulan atau bahkan beberapa hari pun bisa untung. Saya pada 8 Oktober 2025 beli emas digital Pegadaian 8 gram dengan harga 22 juta. Tanggal 18 Oktober 2025 saya jual dengan harga 23,2 juta. Hanya dalam 10 hari saya untung 1,2 juta."",";Netral;
@valentinoaldriansidabutar6191,Saya beli emas crypto tapi PAXG bukan XAUT<br>kurang lebih samalah,;Netral;
@bocahwringinharjo0183,Mas<br>LH,;Netral;
"@rizalnurhuda,""Kalo mau beli emas kripto, saran beli di exchange luar pakai usdt atau exchange lokal pakai idr ??"",";Netral;
